dataset,transform,model,split_id,Accuracy,Accuracy_race_White_0,Accuracy_race_White_0-race_White_1,Accuracy_race_White_0/race_White_1,Accuracy_race_White_1,Balanced Accuracy,CV absolute,F1,P(s|y)=0.5,TNR,TNR_race_White_0,TNR_race_White_0-race_White_1,TNR_race_White_0/race_White_1,TNR_race_White_1,TPR,TPR_race_White_0,TPR_race_White_0-race_White_1,TPR_race_White_0/race_White_1,TPR_race_White_1,percent_dropped,prob_pos,prob_pos_race_White_0,prob_pos_race_White_0-race_White_1,prob_pos_race_White_0/race_White_1,prob_pos_race_White_1,seed
Adult Race-Binary,Upsample uniform,"Logistic Regression, C=1.0",0,0.8805379746835443,0.8908227848101266,0.02056962025316456,0.9769094138543516,0.8702531645569621,0.7524248120300752,0.9541139240506328,0.5994694960212201,1.0,0.9398496240601504,0.9595864661654137,0.039473684210526334,0.9588638589618022,0.9201127819548872,0.565,0.525,0.07999999999999996,0.8677685950413224,0.605,0.7204776647501105,0.14003164556962025,0.11708860759493672,0.0458860759493671,0.7184466019417476,0.1629746835443038,0.0
Adult Race-Binary,Upsample uniform,SVM,0,0.8975474683544303,0.8963607594936709,0.002373417721519,0.9973591549295776,0.8987341772151899,0.7594830827067669,0.9691455696202532,0.6326241134751774,1.0,0.9614661654135338,0.9699248120300752,0.016917293233082664,0.9825581395348838,0.9530075187969924,0.5575,0.505,0.10499999999999997,0.8278688524590164,0.61,0.7204776647501105,0.1206487341772152,0.10522151898734178,0.030854430379746837,0.7732558139534884,0.1360759493670886,0.0
Adult Race-Binary,Upsample uniform,Majority,0,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,0.0
Adult Race-Binary,Upsample uniform,"Logistic Regression, C=1.0",1,0.8840981012658228,0.8987341772151899,0.029272151898734226,0.9674295774647886,0.8694620253164557,0.7616447368421053,0.9786392405063292,0.6139657444005271,1.0,0.9407894736842104,0.9558270676691728,0.030075187969924814,0.9685349065880041,0.9257518796992479,0.5825,0.595,0.025000000000000026,0.9579831932773109,0.57,0.7204776647501105,0.14200949367088608,0.13132911392405064,0.02136075949367089,0.8601036269430051,0.15268987341772153,2410.0
Adult Race-Binary,Upsample uniform,SVM,1,0.8979430379746836,0.909018987341772,0.022151898734177226,0.9756309834638816,0.8868670886075949,0.7647932330827067,0.990506329113924,0.6386554621848739,1.0,0.9595864661654137,0.9689849624060152,0.01879699248120304,0.9806013579049466,0.950187969924812,0.57,0.59,0.039999999999999925,0.9322033898305084,0.55,0.7204776647501105,0.12420886075949368,0.1194620253164557,0.009493670886075944,0.9263803680981596,0.12895569620253164,2410.0
Adult Race-Binary,Upsample uniform,Majority,1,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,2410.0
Adult Race-Binary,Upsample uniform,"Logistic Regression, C=1.0",2,0.8912183544303798,0.8971518987341772,0.011867088607594887,0.9867724867724867,0.8852848101265823,0.7689191729323308,0.9944620253164556,0.6318607764390897,1.0,0.9478383458646616,0.9530075187969924,0.010338345864661648,0.9891518737672584,0.9426691729323308,0.59,0.6,0.02000000000000001,0.9666666666666668,0.58,0.7204776647501105,0.1372626582278481,0.13449367088607594,0.005537974683544306,0.9604519774011301,0.14003164556962025,4820.0
Adult Race-Binary,Upsample uniform,SVM,2,0.9026898734177216,0.9011075949367088,0.003164556962025333,0.9965004374453194,0.9042721518987342,0.7564473684210526,0.9920886075949368,0.6382352941176471,1.0,0.9703947368421052,0.9718045112781954,0.0028195488721803885,0.9970986460348163,0.9689849624060152,0.5425,0.525,0.03500000000000003,0.9375,0.56,0.7204776647501105,0.11075949367088607,0.10680379746835444,0.007911392405063292,0.9310344827586208,0.11471518987341772,4820.0
Adult Race-Binary,Upsample uniform,Majority,2,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,4820.0
Adult Race-Binary,Upsample uniform,"Logistic Regression, C=1.0",3,0.8694620253164557,0.8694620253164557,0.0,1.0,0.8694620253164557,0.7458458646616541,0.9968354430379748,0.5780051150895141,1.0,0.9266917293233082,0.9276315789473684,0.0018796992481203696,0.9979736575481256,0.9257518796992479,0.565,0.56,0.009999999999999898,0.9824561403508774,0.57,0.7204776647501105,0.15110759493670886,0.1495253164556962,0.003164556962025333,0.9792746113989635,0.15268987341772153,7230.0
