dataset,transform,model,split_id,Accuracy,Accuracy_sex_Male_0,Accuracy_sex_Male_0-sex_Male_1,Accuracy_sex_Male_0/sex_Male_1,Accuracy_sex_Male_1,Balanced Accuracy,CV absolute,F1,P(s|y)=0.5,TNR,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TPR,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TPR_sex_Male_1,percent_dropped,prob_pos,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,prob_pos_sex_Male_1,seed
Adult Sex,Calders,"Logistic Regression, C=1.0",0,0.8778496087104457,0.8778496087104457,0.0,1.0,0.8778496087104457,0.7960195731377935,0.961211296359306,0.5621951219512195,1.0,0.9019193857965452,0.8909788867562379,0.02188099808061417,0.9760302775441548,0.9128598848368522,0.6901197604790419,0.7754491017964071,0.1706586826347305,0.7799227799227799,0.6047904191616766,0.3501769128704113,0.1653623681524328,0.18475671997277987,0.03878870364069412,0.7900552486187845,0.14596801633208575,0.0
Adult Sex,Calders,SVM,0,0.8953725757060225,0.8972439605307928,0.003742769649540678,0.9958285930982176,0.8935011908812521,0.8104721459192938,0.980605648179653,0.6034816247582205,1.0,0.920345489443378,0.9159309021113244,0.008829174664107486,0.9904524699045248,0.9247600767754318,0.7005988023952096,0.7514970059880239,0.10179640718562877,0.8645418326693227,0.6497005988023952,0.3501769128704113,0.1502211636611092,0.15991833957128276,0.019394351820347044,0.8787234042553193,0.1405239877509357,0.0
Adult Sex,Calders,Majority,0,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,0.0
Adult Sex,Calders,"Logistic Regression, C=1.0",1,0.8737665872745832,0.8853351480095271,0.023137121469887768,0.9738662567255956,0.8621980265396393,0.7813181698024297,0.9755018713848248,0.5436654366543666,1.0,0.9009596928982726,0.9005758157389635,0.0007677543186180857,0.9991482112436116,0.9013435700575816,0.6616766467065869,0.7664670658682635,0.2095808383233534,0.7265624999999999,0.5568862275449101,0.3501769128704113,0.16298060564817965,0.17522966995576728,0.024498128615175224,0.8601941747572815,0.15073154134059205,2410.0
Adult Sex,Calders,SVM,1,0.8992854712487242,0.9088125212657366,0.01905410003402519,0.9790340696368399,0.8897584212317114,0.8022389003183652,0.9836679142565501,0.6042780748663101,1.0,0.927831094049904,0.928598848368522,0.0015355086372360605,0.9983464241422076,0.927063339731286,0.6766467065868264,0.7544910179640718,0.15568862275449102,0.7936507936507936,0.5988023952095808,0.3501769128704113,0.14086423953725755,0.14903028240898264,0.01633208574345016,0.8904109589041096,0.13269819666553248,2410.0
Adult Sex,Calders,Majority,1,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,2410.0
Adult Sex,Calders,"Logistic Regression, C=1.0",2,0.8805716230010208,0.8839741408642395,0.006805035726437536,0.9923017705927636,0.8771691051378021,0.7916822784373672,0.952364749914937,0.5628891656288916,1.0,0.906717850287908,0.8952015355086372,0.02303262955854124,0.9749163879598662,0.9182341650671784,0.6766467065868264,0.7964071856287425,0.2395209580838324,0.6992481203007519,0.5568862275449101,0.3501769128704113,0.15957808778496088,0.18339571282749234,0.04763525008506295,0.7402597402597403,0.1357604627424294,4820.0
Adult Sex,Calders,SVM,2,0.9035386185777476,0.9047294998298742,0.0023817625042531487,0.9973674313651748,0.9023477373256208,0.8033330651556772,0.9574685267097652,0.6134969325153374,1.0,0.9330134357005758,0.9216890595009596,0.022648752399232253,0.9760162601626016,0.9443378119001921,0.6736526946107785,0.7724550898203593,0.19760479041916168,0.7441860465116279,0.5748502994011976,0.3501769128704113,0.13593058863559035,0.15719632528070773,0.04253147329023478,0.7294372294372294,0.11466485199047295,4820.0
Adult Sex,Calders,Majority,2,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,4820.0
Adult Sex,Calders,"Logistic Regression, C=1.0",3,0.8848247703300443,0.8826131337189521,0.0044232732221843865,0.9950134253931724,0.8870364069411364,0.7993017803165263,0.9588295338550528,0.5760801502817783,1.0,0.9099808061420346,0.8971209213051824,0.025719769673704374,0.9721297836938436,0.9228406909788868,0.688622754491018,0.7694610778443114,0.16167664670658688,0.7898832684824902,0.6077844311377245,0.3501769128704113,0.15804695474651242,0.17863218781898604,0.041170466144947265,0.7695238095238095,0.13746172167403878,7230.0
