dataset,transform,model,split_id,Accuracy,Accuracy_sex_Male_0,Accuracy_sex_Male_0-sex_Male_1,Accuracy_sex_Male_0/sex_Male_1,Accuracy_sex_Male_1,Balanced Accuracy,CV absolute,F1,P(s|y)=0.5,TNR,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TPR,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TPR_sex_Male_1,percent_dropped,prob_pos,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,prob_pos_sex_Male_1,seed
Adult Sex,Upsample preferential,"Logistic Regression, C=1.0",0,0.8902687989111943,0.8883974140864239,0.003742769649540678,0.9958047292143402,0.8921401837359646,0.7690935786775777,0.9493024838380402,0.559125085440875,1.0,0.9259117082533588,0.9105566218809978,0.03071017274472165,0.9673735725938007,0.9412667946257196,0.6122754491017964,0.7155688622754491,0.2065868263473054,0.7112970711297071,0.5089820359281437,0.3501769128704113,0.13525008506294658,0.1605988431439265,0.05069751616195985,0.6843220338983051,0.10990132698196664,0.0
Adult Sex,Upsample preferential,SVM,0,0.91850969717591,0.9142565498468866,0.008506294658046977,0.9907817109144542,0.9227628445049336,0.8032954245060742,0.9567880231371216,0.6459719142645972,1.0,0.9523992322456812,0.9378119001919386,0.029174664107485593,0.9698292973402144,0.9669865642994242,0.6541916167664671,0.7305389221556886,0.15269461077844315,0.7909836065573771,0.5778443113772455,0.3501769128704113,0.11653623681524328,0.13814222524668254,0.04321197686287853,0.6871921182266011,0.094930248383804,0.0
Adult Sex,Upsample preferential,Majority,0,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,0.0
Adult Sex,Upsample preferential,"Logistic Regression, C=1.0",1,0.8904389248043553,0.8962232051718272,0.011568560734943945,0.9870918754745632,0.8846546444368832,0.7646218120381119,0.9557672677781558,0.5552486187845304,1.0,0.9274472168905952,0.9182341650671784,0.01842610364683306,0.9803278688524588,0.9366602687140116,0.6017964071856288,0.7245508982035929,0.2455089820359282,0.6611570247933883,0.4790419161676647,0.3501769128704113,0.13269819666553248,0.15481456277645458,0.04423273222184418,0.7142857142857142,0.1105818305546104,2410.0
Adult Sex,Upsample preferential,SVM,1,0.9125552909152772,0.9149370534195304,0.0047635250085062975,0.9947936035701004,0.9101735284110242,0.7901484937993495,0.9598502892140184,0.6215022091310751,1.0,0.9485604606525913,0.9385796545105566,0.01996161228406912,0.9791750100120143,0.9585412667946256,0.6317365269461078,0.7305389221556886,0.19760479041916168,0.7295081967213115,0.5329341317365269,0.3501769128704113,0.11738686628104796,0.13746172167403878,0.04014971078598162,0.707920792079208,0.09731201088805716,2410.0
Adult Sex,Upsample preferential,Majority,1,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,2410.0
Adult Sex,Upsample preferential,"Logistic Regression, C=1.0",2,0.8914596801633209,0.8952024498128616,0.007485539299081356,0.991638160395287,0.8877169105137802,0.7593248244394128,0.9510037427696496,0.5519662921348315,1.0,0.9303262955854128,0.9186180422264876,0.023416506717850227,0.9751426242868786,0.9420345489443378,0.5883233532934131,0.7125748502994012,0.248502994011976,0.6512605042016807,0.4640718562874251,0.3501769128704113,0.12861517522966995,0.15311330384484514,0.04899625723035045,0.68,0.10411704661449472,4820.0
Adult Sex,Upsample preferential,SVM,2,0.9176590677101056,0.9176590677101056,0.0,1.0,0.9176590677101056,0.7838921006355809,0.9428376998979244,0.6276923076923077,1.0,0.9570057581573896,0.9408829174664108,0.032245681381957825,0.9668639053254438,0.9731285988483686,0.6107784431137725,0.7365269461077845,0.251497005988024,0.6585365853658536,0.4850299401197605,0.3501769128704113,0.1075195644777135,0.13610071452875128,0.057162300102075535,0.58,0.07893841442667572,4820.0
Adult Sex,Upsample preferential,Majority,2,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,4820.0
Adult Sex,Upsample preferential,"Logistic Regression, C=1.0",3,0.8979244641034365,0.8945219462402177,0.006805035726437536,0.9924499811249528,0.9013269819666552,0.77145459560725,0.9360326641714868,0.575070821529745,1.0,0.9351247600767756,0.9151631477927064,0.03992322456813813,0.9581993569131834,0.9550863723608444,0.6077844311377245,0.7335329341317365,0.2514970059880239,0.6571428571428573,0.4820359281437126,0.3501769128704113,0.12657366451173868,0.15855733242599526,0.06396733582851309,0.5965665236051503,0.09458999659748214,7230.0
