dataset,transform,model,split_id,Accuracy,Accuracy_sex_Male_0,Accuracy_sex_Male_0-sex_Male_1,Accuracy_sex_Male_0/sex_Male_1,Accuracy_sex_Male_1,Balanced Accuracy,CV absolute,F1,P(s|y)=0.5,TNR,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TPR,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TPR_sex_Male_1,percent_dropped,prob_pos,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,prob_pos_sex_Male_1,seed
Adult Sex,Upsample uniform,"Logistic Regression, C=1.0",0,0.901837359646138,0.9122150391289554,0.02075535896563452,0.9772472957851548,0.8914596801633209,0.7730093555690921,0.9948962232051718,0.5839942321557319,1.0,0.9397312859884835,0.9470249520153552,0.014587332053742854,0.984596676124848,0.9324376199616122,0.6062874251497006,0.6407185628742516,0.06886227544910184,0.8925233644859812,0.5718562874251497,0.3501769128704113,0.1223205171827152,0.11976862878530113,0.00510377679482818,0.9591280653950952,0.1248724055801293,0.0
Adult Sex,Upsample uniform,SVM,0,0.9191902007485541,0.9231030962912556,0.007825791085403155,0.9915223000368596,0.9152773052058524,0.7854083579482111,0.9894521946240218,0.6326372776488786,1.0,0.9585412667946256,0.9577735124760076,0.0015355086372360605,0.9983993597438976,0.9593090211132438,0.6122754491017964,0.6526946107784432,0.08083832335329344,0.8761467889908257,0.5718562874251497,0.3501769128704113,0.10632868322558693,0.11160258591357604,0.010547805375978228,0.9054878048780488,0.10105478053759782,0.0
Adult Sex,Upsample uniform,Majority,0,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,0.0
Adult Sex,Upsample uniform,"Logistic Regression, C=1.0",1,0.8943518203470568,0.9190200748553928,0.0493365090166723,0.9463161791928916,0.8696835658387206,0.7687867068166929,0.9867301803334468,0.5660377358490566,1.0,0.9312859884836852,0.9489443378119002,0.035316698656429946,0.9627831715210357,0.9136276391554704,0.6062874251497006,0.6856287425149701,0.1586826347305389,0.7685589519650655,0.5269461077844312,0.3501769128704113,0.12980605648179652,0.1231711466485199,0.01326981966655326,0.9027431421446384,0.13644096631507316,2410.0
Adult Sex,Upsample uniform,SVM,1,0.9140864239537256,0.9231030962912556,0.018033344675059567,0.98046443051972,0.905069751616196,0.7910122174077948,0.9962572303504592,0.625648628613788,1.0,0.9502879078694818,0.9543186180422264,0.008061420345489512,0.991552695092518,0.946257197696737,0.6317365269461078,0.6796407185628742,0.09580838323353293,0.8590308370044053,0.5838323353293413,0.3501769128704113,0.11585573324259953,0.11772711806736985,0.0037427696495406643,0.9682080924855492,0.1139843484178292,2410.0
Adult Sex,Upsample uniform,Majority,1,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,2410.0
Adult Sex,Upsample uniform,"Logistic Regression, C=1.0",2,0.8982647158897584,0.915957808778496,0.03538618577747532,0.9613670133729568,0.8805716230010208,0.7618585286241337,0.9965974821367812,0.5666666666666667,1.0,0.938387715930902,0.9493282149712092,0.02188099808061417,0.9769510715729884,0.9274472168905952,0.5853293413173652,0.655688622754491,0.14071856287425155,0.7853881278538812,0.5149700598802395,0.3501769128704113,0.12112963593058865,0.11942837699897925,0.003402517863218782,0.9722991689750692,0.12283089486219805,4820.0
Adult Sex,Upsample uniform,SVM,2,0.921742089145968,0.9285471248724056,0.013610071452875072,0.9853426163429828,0.9149370534195304,0.7698820209868171,0.9789043892480436,0.6247960848287112,1.0,0.9664107485604606,0.9642994241842612,0.004222648752399194,0.9956401109789932,0.9685220729366604,0.5733532934131736,0.6497005988023952,0.1526946107784431,0.7649769585253456,0.4970059880239521,0.3501769128704113,0.094930248383804,0.10547805375978224,0.021095610751956442,0.8,0.0843824430078258,4820.0
Adult Sex,Upsample uniform,Majority,2,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,4820.0
Adult Sex,Upsample uniform,"Logistic Regression, C=1.0",3,0.9047294998298742,0.9156175569921742,0.021776114324600138,0.9762170196952806,0.8938414426675741,0.785081372763111,0.9965974821367812,0.6005706134094151,1.0,0.9399232245681379,0.94510556621881,0.010364683301343658,0.9890333062550772,0.9347408829174664,0.6302395209580839,0.6856287425149701,0.1107784431137725,0.8384279475982532,0.5748502994011976,0.3501769128704113,0.1248724055801293,0.12657366451173868,0.003402517863218782,0.9731182795698924,0.1231711466485199,7230.0
