dataset,transform,model,split_id,Accuracy,Accuracy_sex_Male_0,Accuracy_sex_Male_0-sex_Male_1,Accuracy_sex_Male_0/sex_Male_1,Accuracy_sex_Male_1,Balanced Accuracy,CV absolute,F1,P(s|y)=0.5,TNR,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TPR,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TPR_sex_Male_1,percent_dropped,prob_pos,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,prob_pos_sex_Male_1,seed
Adult Sex,no_transform,"Logistic Regression, C=1.0",0,0.8987750935692412,0.921742089145968,0.045933991153453535,0.9501661129568106,0.8758080979925145,0.7582312342685071,0.9193603266417149,0.5641025641025641,1.0,0.9401151631477928,0.9758157389635316,0.07140115163147798,0.9268292682926828,0.9044145873320536,0.5763473053892215,0.5,0.15269461077844315,0.7660550458715596,0.6526946107784432,0.3501769128704113,0.11857774753317454,0.07825791085403197,0.08063967335828512,0.4925053533190578,0.15889758421231712,0.0
Adult Sex,no_transform,SVM,0,0.9093228989452194,0.92752636951344,0.03640694113644094,0.9607483492296404,0.8911194283769991,0.7465629202248094,0.9132357944879208,0.5732586068855083,1.0,0.957197696737044,0.9919385796545106,0.06948176583493282,0.9299535603715172,0.9224568138195778,0.5359281437125748,0.4251497005988024,0.22155688622754488,0.6574074074074074,0.6467065868263473,0.3501769128704113,0.09884314392650564,0.055461041170466144,0.08676420551207893,0.3899521531100479,0.14222524668254508,0.0
Adult Sex,no_transform,Majority,0,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,0.0
Adult Sex,no_transform,Kamiran & Calders LR,0,0.8994555971418849,0.910513780197346,0.02211636611092216,0.9757100149476832,0.8883974140864239,0.7827588584826508,0.9955767267778156,0.5881533101045296,1.0,0.933781190019194,0.9412667946257196,0.014971209213051728,0.984094616639478,0.926295585412668,0.6317365269461078,0.6706586826347305,0.07784431137724546,0.8839285714285715,0.592814371257485,0.3501769128704113,0.1304865600544403,0.12827492344334807,0.004423273222184415,0.9666666666666668,0.13269819666553248,0.0
Adult Sex,no_transform,Kamiran & Calders SVM,0,0.9195304525348758,0.9251446070091868,0.011228308948621923,0.9878631849944832,0.9139162980605648,0.7875578976404197,0.9935352160598844,0.6353122590593677,1.0,0.9583493282149712,0.9596928982725528,0.0026871401151631336,0.9972,0.9570057581573896,0.6167664670658682,0.655688622754491,0.07784431137724558,0.8812785388127853,0.5778443113772455,0.3501769128704113,0.1070091867982307,0.11024157876828854,0.006464783940115695,0.9413580246913579,0.10377679482817284,0.0
Adult Sex,no_transform,"Logistic Regression, C=1.0",1,0.8943518203470568,0.92752636951344,0.06634909833276625,0.9284666177549524,0.8611772711806737,0.7576936338455527,0.9173188159237836,0.5554760200429489,1.0,0.9345489443378121,0.9765834932821496,0.08406909788867556,0.9139150943396228,0.8925143953934741,0.5808383233532934,0.5449101796407185,0.07185628742514971,0.8834951456310679,0.6167664670658682,0.3501769128704113,0.1240217761143246,0.0826811840762164,0.0826811840762164,0.5,0.1653623681524328,2410.0
Adult Sex,no_transform,SVM,1,0.9108540319836679,0.9319496427356244,0.04219122150391297,0.954728002920774,0.8897584212317114,0.7572146493960257,0.927186117727118,0.5874015748031496,1.0,0.9560460652591172,0.9884836852207294,0.06487523992322464,0.9343689320388348,0.9236084452975049,0.5583832335329342,0.4910179640718562,0.1347305389221557,0.7846889952153109,0.6257485029940121,0.3501769128704113,0.10241578768288534,0.06600884654644437,0.07281388227288194,0.4754901960784314,0.1388227288193263,2410.0
Adult Sex,no_transform,Majority,1,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,2410.0
Adult Sex,no_transform,Kamiran & Calders LR,1,0.8962232051718272,0.9179993194964272,0.043552228649200386,0.9525574499629356,0.8744470908472269,0.7646220993713149,0.9897924464103436,0.5655270655270656,1.0,0.9349328214971208,0.9500959692898272,0.030326295585412662,0.9680808080808079,0.9197696737044144,0.594311377245509,0.6676646706586826,0.1467065868263473,0.7802690582959642,0.5209580838323353,0.3501769128704113,0.12521265736645118,0.120108880571623,0.01020755358965636,0.9216710182767625,0.13031643416127936,2410.0
Adult Sex,no_transform,Kamiran & Calders SVM,1,0.9181694453895884,0.9268458659407962,0.017352841102415858,0.9812775330396476,0.9094930248383803,0.7887477444343558,0.9935352160598844,0.6331045003813882,1.0,0.9562380038387716,0.9593090211132438,0.006142034548944353,0.9935974389755904,0.9531669865642994,0.6212574850299402,0.6736526946107785,0.10479041916167664,0.8444444444444444,0.5688622754491018,0.3501769128704113,0.10939094930248383,0.11262334127254167,0.006464783940115695,0.9425981873111782,0.10615855733242599,2410.0
