dataset,transform,model,split_id,Accuracy,Accuracy_race_0,Accuracy_race_0-race_1,Accuracy_race_0/race_1,Accuracy_race_1,Balanced Accuracy,CV absolute,F1,TNR,TNR_race_0,TNR_race_0-race_1,TNR_race_0/race_1,TNR_race_1,TPR,TPR_race_0,TPR_race_0-race_1,TPR_race_0/race_1,TPR_race_1,prob_pos,prob_pos_race_0,prob_pos_race_0-race_1,prob_pos_race_0/race_1,prob_pos_race_1,seed
Compas Race,Upsample preferential,"Logistic Regression, C=1.0",0,0.6731549067315491,0.6765067650676507,0.0098400984009841,0.9854545454545454,0.6666666666666666,0.6639331869111281,0.8455280267088385,0.6098741529525654,0.7663690476190477,0.7355769230769231,0.08082932692307687,0.9009937430990064,0.81640625,0.5614973262032086,0.6146095717884131,0.18168274252012045,0.7043932427029188,0.4329268292682927,0.3828061638280617,0.4354243542435424,0.15447197329116147,0.6452380952380953,0.2809523809523809,0.0
Compas Race,Upsample preferential,SVM,0,0.6877534468775345,0.6801968019680197,0.022184150412932646,0.968415785852774,0.7023809523809523,0.6771788260758849,0.8304076612194693,0.6199407699901284,0.7946428571428571,0.75,0.1171875,0.8648648648648649,0.8671875,0.5597147950089126,0.6070528967254408,0.16193094550592865,0.7332506831292379,0.4451219512195122,0.3665855636658557,0.42435424354243545,0.1695923387805307,0.6003519668737061,0.25476190476190474,0.0
Compas Race,Upsample preferential,Majority,0,0.5450121654501217,0.5116851168511685,0.09783869267264113,0.8394833948339482,0.6095238095238096,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Compas Race,Upsample preferential,"Logistic Regression, C=1.0",1,0.6626115166261152,0.6531365313653137,0.027815849587067287,0.9591515495574536,0.6809523809523811,0.6577937993379169,0.8354946406606923,0.619744058500914,0.7113095238095238,0.6610576923076923,0.1319110576923077,0.8336491095111784,0.79296875,0.6042780748663101,0.6448362720403022,0.1387387110646925,0.7848466082317074,0.5060975609756098,0.4322789943227899,0.4883148831488315,0.16450535933930766,0.663116228859302,0.3238095238095238,2410.0
Compas Race,Upsample preferential,SVM,1,0.6828872668288727,0.6777367773677737,0.015120365489369125,0.9781767920771992,0.6928571428571428,0.6755116819455055,0.8051748374626604,0.630085146641438,0.7574404761904762,0.7043269230769231,0.13942307692307687,0.8347578347578348,0.84375,0.5935828877005348,0.6498740554156172,0.19255698224488546,0.7037010777084515,0.4573170731707317,0.4022708840227088,0.4686346863468634,0.1948251625373396,0.58427071616048,0.27380952380952384,2410.0
Compas Race,Upsample preferential,Majority,1,0.5450121654501217,0.5116851168511685,0.09783869267264113,0.8394833948339482,0.6095238095238096,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2410.0
Compas Race,Upsample preferential,"Logistic Regression, C=1.0",2,0.6788321167883211,0.6740467404674046,0.014048497627833443,0.979583498257128,0.6880952380952381,0.6691415202444615,0.8216394306800211,0.6140350877192983,0.7767857142857143,0.7307692307692307,0.12079326923076927,0.8581510232886379,0.8515625,0.5614973262032086,0.6146095717884131,0.18168274252012045,0.7043932427029188,0.4329268292682927,0.3771289537712895,0.4378843788437885,0.1783605693199789,0.5926765650080257,0.25952380952380955,4820.0
Compas Race,Upsample preferential,SVM,2,0.6820762368207623,0.6888068880688807,0.019759269021261683,0.9713137755102041,0.669047619047619,0.6734426725235549,0.7827534703918467,0.6230769230769231,0.7693452380952381,0.7211538461538461,0.12650240384615385,0.8507621410847217,0.84765625,0.5775401069518716,0.654911838790932,0.26466793635190755,0.5958724202626642,0.3902439024390244,0.3884833738848337,0.4624846248462485,0.21724652960815324,0.5302621580547112,0.2452380952380953,4820.0
Compas Race,Upsample preferential,Majority,2,0.5450121654501217,0.5116851168511685,0.09783869267264113,0.8394833948339482,0.6095238095238096,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,4820.0
Compas Race,Upsample preferential,"Logistic Regression, C=1.0",3,0.681265206812652,0.6900369003690037,0.02575118608328941,0.962681436210848,0.6642857142857143,0.6746124586198116,0.8362062906343348,0.6316776007497658,0.7485119047619048,0.71875,0.078125,0.9019607843137256,0.796875,0.6007130124777184,0.6599496221662469,0.20263254899551514,0.6929575498045057,0.4573170731707317,0.4103811841038119,0.4661746617466175,0.16379370936566512,0.6486430456087448,0.3023809523809524,7230.0
Compas Race,Upsample preferential,SVM,3,0.6901865369018654,0.6986469864698647,0.02483746266034081,0.9644491951710262,0.6738095238095239,0.6822081105169341,0.8162449481637674,0.6354961832061069,0.7708333333333334,0.7355769230769231,0.09254807692307687,0.8882438316400582,0.828125,0.5935828877005348,0.6599496221662469,0.22702279289795416,0.655999813814932,0.4329268292682927,0.39497161394971614,0.4575645756457565,0.18375505183623264,0.5984062980030722,0.27380952380952384,7230.0
Compas Race,Upsample preferential,Majority,3,0.5450121654501217,0.5116851168511685,0.09783869267264113,0.8394833948339482,0.6095238095238096,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,7230.0
Compas Race,Upsample preferential,"Logistic Regression, C=1.0",4,0.6634225466342255,0.6728167281672817,0.027578632929186383,0.9590101854270046,0.6452380952380953,0.6544157435701553,0.8586628009137234,0.5998071359691417,0.7544642857142857,0.7331730769230769,0.05588942307692313,0.9291698400609292,0.7890625,0.5543672014260249,0.6095717884130982,0.18884008109602507,0.6902086272928845,0.4207317073170732,0.3860502838605028,0.4341943419434193,0.14133719908627654,0.6744840145690004,0.2928571428571429,9640.0
Compas Race,Upsample preferential,SVM,4,0.6796431467964315,0.6937269372693727,0.04134598488842034,0.9404002026342452,0.6523809523809524,0.6684133880825057,0.8294148655772272,0.6069651741293532,0.7931547619047619,0.7692307692307693,0.06280048076923073,0.9245214879017696,0.83203125,0.5436720142602496,0.6146095717884131,0.242658352276218,0.6051829268292682,0.3719512195121951,0.36009732360097324,0.4182041820418204,0.1705851344227728,0.5921008403361345,0.2476190476190477,9640.0
Compas Race,Upsample preferential,Majority,4,0.5450121654501217,0.5116851168511685,0.09783869267264113,0.8394833948339482,0.6095238095238096,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,9640.0
Compas Race,Upsample preferential,"Logistic Regression, C=1.0",5,0.6853203568532036,0.7023370233702337,0.049956070989281336,0.9288716537403052,0.6523809523809524,0.6762716450216449,0.8804076612194693,0.6247582205029014,0.7767857142857143,0.7716346153846154,0.01352163461538458,0.9827784156142364,0.78515625,0.5757575757575758,0.6297229219143576,0.18460097069484546,0.7068536585365854,0.4451219512195122,0.3836171938361719,0.42435424354243545,0.11959233878053065,0.7181780538302278,0.3047619047619048,12050.0
Compas Race,Upsample preferential,SVM,5,0.6991078669910786,0.7109471094710947,0.03475663328061851,0.9511122095897182,0.6761904761904762,0.6903926343264579,0.8261641187840449,0.6422372227579557,0.7872023809523809,0.7596153846153846,0.07241586538461542,0.9129649693029974,0.83203125,0.5935828877005348,0.6599496221662469,0.22702279289795416,0.655999813814932,0.4329268292682927,0.3860502838605028,0.4452644526445265,0.17383588121595506,0.6095895816890291,0.2714285714285714,12050.0
Compas Race,Upsample preferential,Majority,5,0.5450121654501217,0.5116851168511685,0.09783869267264113,0.8394833948339482,0.6095238095238096,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,12050.0
Compas Race,Upsample preferential,"Logistic Regression, C=1.0",6,0.6731549067315491,0.6838868388683886,0.031505886487436234,0.9539311408016444,0.6523809523809524,0.6643748408454291,0.8742575997188544,0.6121270452358036,0.7619047619047619,0.7475961538461539,0.03756009615384615,0.9521622655951014,0.78515625,0.5668449197860963,0.6171284634760705,0.17200651225655833,0.7212792434046792,0.4451219512195122,0.38767234387672345,0.4305043050430504,0.12574240028114564,0.7079183673469388,0.3047619047619048,14460.0
Compas Race,Upsample preferential,SVM,6,0.6788321167883211,0.6875768757687577,0.025672113863995816,0.962662918476872,0.6619047619047619,0.6695831741787625,0.8539799683711122,0.6162790697674421,0.7723214285714286,0.75,0.05859375,0.927536231884058,0.80859375,0.5668449197860963,0.6221662468513854,0.1892394175830928,0.6958378591883084,0.4329268292682927,0.3819951338199513,0.4317343173431734,0.14602003162888771,0.6617826617826618,0.2857142857142857,14460.0
Compas Race,Upsample preferential,Majority,6,0.5450121654501217,0.5116851168511685,0.09783869267264113,0.8394833948339482,0.6095238095238096,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,14460.0
Compas Race,Upsample preferential,"Logistic Regression, C=1.0",7,0.6772100567721006,0.6789667896678967,0.005157265858372839,0.9924042443064184,0.6738095238095239,0.6689783868092691,0.8692584782990687,0.6195028680688336,0.7604166666666666,0.7355769230769231,0.06520432692307687,0.9185741088180112,0.80078125,0.5775401069518716,0.6196473551637279,0.14403759906616698,0.7675490779298036,0.47560975609756106,0.3933495539334955,0.4378843788437885,0.13074152170093128,0.70142455858748,0.3071428571428572,16870.0
Compas Race,Upsample preferential,SVM,7,0.6877534468775345,0.6851168511685117,0.007740291688631106,0.9888284449854808,0.6928571428571428,0.6787982238349886,0.8322351080653664,0.6280193236714976,0.7782738095238095,0.7379807692307693,0.10576923076923073,0.8746438746438747,0.84375,0.5793226381461676,0.6297229219143576,0.1724058487436259,0.726219512195122,0.4573170731707317,0.3844282238442822,0.4415744157441575,0.16776489193463362,0.6200756068444091,0.27380952380952384,16870.0
Compas Race,Upsample preferential,Majority,7,0.5450121654501217,0.5116851168511685,0.09783869267264113,0.8394833948339482,0.6095238095238096,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,16870.0
Compas Race,Upsample preferential,"Logistic Regression, C=1.0",8,0.6707218167072182,0.6666666666666666,0.011904761904761972,0.9824561403508772,0.6785714285714286,0.6624371339444869,0.8187049727640134,0.6118546845124283,0.7544642857142857,0.7067307692307693,0.12530048076923073,0.8494041170097508,0.83203125,0.5704099821746881,0.6246851385390428,0.1856607482951404,0.7027930763178599,0.4390243902439024,0.3933495539334955,0.4551045510455105,0.18129502723598664,0.6016409266409267,0.27380952380952384,19280.0
Compas Race,Upsample preferential,SVM,8,0.681265206812652,0.6789667896678967,0.006747496046389022,0.990159901599016,0.6857142857142857,0.6719625350140056,0.833544192584783,0.6188166828322017,0.7752976190476191,0.7355769230769231,0.10426682692307687,0.8758497316636852,0.83984375,0.5686274509803921,0.6196473551637279,0.17452540394421573,0.7183472139599445,0.4451219512195122,0.3811841038118409,0.4378843788437885,0.16645580741521704,0.6198635634028892,0.2714285714285714,19280.0
Compas Race,Upsample preferential,Majority,8,0.5450121654501217,0.5116851168511685,0.09783869267264113,0.8394833948339482,0.6095238095238096,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,19280.0
Compas Race,Upsample preferential,"Logistic Regression, C=1.0",9,0.6642335766423357,0.6740467404674046,0.02880864522930937,0.9572601668404589,0.6452380952380953,0.6541292653425006,0.8626691266912669,0.5949119373776909,0.7663690476190477,0.7475961538461539,0.049278846153846145,0.9381598793363499,0.796875,0.5418894830659536,0.5969773299748111,0.1884407446089575,0.6843418750643202,0.40853658536585363,0.37388483373884834,0.42066420664206644,0.13733087330873311,0.6735380116959064,0.2833333333333333,21690.0
