dataset,transform,model,split_id,Accuracy,Accuracy_sex_0,Accuracy_sex_0-sex_1,Accuracy_sex_0/sex_1,Accuracy_sex_1,Balanced Accuracy,CV absolute,F1,TNR,TNR_sex_0,TNR_sex_0-sex_1,TNR_sex_0/sex_1,TNR_sex_1,TPR,TPR_sex_0,TPR_sex_0-sex_1,TPR_sex_0/sex_1,TPR_sex_1,prob_pos,prob_pos_sex_0,prob_pos_sex_0-sex_1,prob_pos_sex_0/sex_1,prob_pos_sex_1,seed
Compas Sex,Calders,"Logistic Regression, C=1.0",0,0.6693679092382496,0.6936170212765957,0.02995335761293205,0.9568157114169384,0.6636636636636637,0.6640982460599898,0.8571848444188871,0.625,0.7232142857142857,0.7960526315789473,0.09412955465587047,0.8817546090273363,0.7019230769230769,0.604982206405694,0.5060240963855421,0.1161053399401364,0.8133743025794452,0.6221294363256785,0.4262560777957861,0.31063829787234043,0.14281515558111302,0.6850500211356911,0.4534534534534535,0.0
Compas Sex,Calders,SVM,0,0.6823338735818476,0.7021276595744681,0.02444998189679037,0.965177298510632,0.6776776776776777,0.6774593289273004,0.9057440419142546,0.6410256410256411,0.7321428571428571,0.7697368421052632,0.04858299595141702,0.9368836291913216,0.7211538461538461,0.6227758007117438,0.5783132530120482,0.05216691400256557,0.9172584377244076,0.6304801670146137,0.4294975688816856,0.3531914893617021,0.09425595808574533,0.7893474225331999,0.44744744744744747,0.0
Compas Sex,Calders,Majority,0,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Compas Sex,Calders,"Logistic Regression, C=1.0",1,0.6717990275526742,0.7063829787234043,0.04271931505974058,0.9395238612106084,0.6636636636636637,0.6696799271309948,0.9140118842246502,0.6419098143236074,0.6934523809523809,0.7434210526315791,0.0645748987854251,0.913138189244384,0.6788461538461539,0.6459074733096085,0.6385542168674698,0.008627411525014561,0.9866692576758646,0.6471816283924844,0.4611021069692058,0.3914893617021277,0.08598811577534983,0.8199116820553994,0.4774774774774775,2410.0
Compas Sex,Calders,SVM,1,0.6807131280388979,0.6765957446808512,0.0050859370008305965,0.9925391320648608,0.6816816816816816,0.6788838756143026,0.8952399207718357,0.652557319223986,0.6994047619047619,0.7302631578947368,0.03987854251012146,0.9453915453915454,0.6903846153846154,0.6583629893238434,0.5783132530120482,0.09392056744724198,0.8602858639527052,0.6722338204592901,0.4635332252836305,0.3787234042553192,0.10476007922816433,0.7833223206026166,0.4834834834834834,2410.0
Compas Sex,Calders,Majority,1,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2410.0
Compas Sex,Calders,"Logistic Regression, C=1.0",2,0.6807131280388979,0.6978723404255319,0.021195663748855287,0.969628164750116,0.6766766766766766,0.6746605448229114,0.8429152556812132,0.6338289962825279,0.7425595238095238,0.8157894736842105,0.09463562753036436,0.8839950372208437,0.7211538461538461,0.6067615658362989,0.4819277108433735,0.14646477349900644,0.7669215066245046,0.6283924843423799,0.4165316045380875,0.28936170212765955,0.15708474431878688,0.6481442610437935,0.4464464464464464,4820.0
Compas Sex,Calders,SVM,2,0.6726094003241491,0.6978723404255319,0.031205673758865293,0.9552845528455284,0.6666666666666666,0.6664919081511609,0.8534278959810875,0.6245353159851301,0.7351190476190477,0.8092105263157895,0.09574898785425097,0.8816760475297061,0.7134615384615385,0.597864768683274,0.4939759036144578,0.1218904846945192,0.8020829079027977,0.615866388308977,0.4165316045380875,0.2978723404255319,0.14657210401891252,0.6702127659574468,0.4444444444444444,4820.0
Compas Sex,Calders,Majority,2,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,4820.0
Compas Sex,Calders,"Logistic Regression, C=1.0",3,0.6620745542949756,0.6638297872340425,0.0021681255723808857,0.99673391340058,0.6616616616616616,0.6550717039484832,0.8539262666922242,0.6084507042253522,0.7336309523809523,0.7894736842105263,0.07216599190283401,0.9085897435897436,0.7173076923076923,0.5765124555160143,0.43373493975903615,0.1675176698443041,0.7213855421686748,0.6012526096033403,0.4076175040518639,0.28936170212765955,0.1460737333077759,0.664534115920763,0.43543543543543545,7230.0
Compas Sex,Calders,SVM,3,0.6636952998379254,0.6553191489361702,0.010346516729495492,0.9844568868980964,0.6656656656656657,0.6581617522453822,0.8759568078717015,0.6175115207373271,0.7202380952380952,0.7565789473684209,0.04696356275303637,0.9379264214046824,0.7096153846153846,0.5960854092526691,0.4698795180722892,0.14807455290892166,0.7603793552588735,0.6179540709812108,0.4238249594813615,0.32340425531914896,0.12404319212829852,0.7227759531629302,0.44744744744744747,7230.0
