dataset,transform,model,split_id,Accuracy,Accuracy_sex_0,Accuracy_sex_0-sex_1,Accuracy_sex_0/sex_1,Accuracy_sex_1,Balanced Accuracy,CV absolute,F1,TNR,TNR_sex_0,TNR_sex_0-sex_1,TNR_sex_0/sex_1,TNR_sex_1,TPR,TPR_sex_0,TPR_sex_0-sex_1,TPR_sex_0/sex_1,TPR_sex_1,prob_pos,prob_pos_sex_0,prob_pos_sex_0-sex_1,prob_pos_sex_0/sex_1,prob_pos_sex_1,seed
Compas Sex,Upsample naive,"Logistic Regression, C=1.0",0,0.6572123176661264,0.6808510638297872,0.0291994121781356,0.9571133633633634,0.6516516516516516,0.6554132774106084,0.8659553170191467,0.6279683377308708,0.6755952380952381,0.75,0.09615384615384616,0.8717948717948718,0.6538461538461539,0.6352313167259787,0.5542168674698795,0.09505244359483866,0.8536008987719366,0.6492693110647182,0.4659643435980551,0.3574468085106383,0.1340446829808532,0.7272695757680808,0.4914914914914915,0.0
Compas Sex,Upsample naive,SVM,0,0.6912479740680713,0.7276595744680852,0.04497689178540243,0.9381896516399442,0.6826826826826827,0.6879739662769022,0.8636977402934849,0.6576819407008085,0.7247023809523809,0.8026315789473685,0.1007085020242916,0.8745271122320302,0.7019230769230769,0.6512455516014235,0.5903614457831325,0.07143396131498858,0.8920603549846071,0.6617954070981211,0.44651539708265797,0.33617021276595743,0.13630225970651505,0.7115128020194734,0.4724724724724725,0.0
Compas Sex,Upsample naive,Majority,0,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Compas Sex,Upsample naive,"Logistic Regression, C=1.0",1,0.6572123176661264,0.6425531914893617,0.01810746917129891,0.9725918762088976,0.6606606606606606,0.6593453440094899,0.8907460652141503,0.6448362720403022,0.6354166666666666,0.6710526315789473,0.04605263157894735,0.9313725490196079,0.625,0.6832740213523132,0.5903614457831325,0.10901224941519727,0.8441287538212552,0.6993736951983298,0.5097244732576985,0.4212765957446809,0.10925393478584973,0.7940666399036531,0.5305305305305306,2410.0
Compas Sex,Upsample naive,SVM,1,0.6920583468395461,0.6765957446808512,0.01909995101484464,0.9725455380376552,0.6956956956956957,0.6933782409761058,0.8952484399292908,0.6768707482993197,0.6785714285714286,0.7039473684210527,0.032793522267206554,0.9534148094895756,0.6711538461538461,0.7081850533807829,0.6265060240963856,0.09583218049651633,0.8673305940525107,0.7223382045929019,0.4975688816855754,0.4127659574468085,0.10475156007070904,0.7975883781225565,0.5175175175175175,2410.0
Compas Sex,Upsample naive,Majority,1,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2410.0
Compas Sex,Upsample naive,"Logistic Regression, C=1.0",2,0.666936790923825,0.6851063829787234,0.02244372031606068,0.967240532457924,0.6626626626626627,0.6660894339942383,0.8276617042574491,0.6422976501305483,0.6755952380952381,0.7697368421052632,0.12165991902834004,0.8419460880999343,0.6480769230769231,0.6565836298932385,0.5301204819277109,0.14837638654828078,0.7813160333642262,0.6784968684759917,0.4756888168557537,0.33617021276595743,0.17233829574255105,0.6610906349472273,0.5085085085085085,4820.0
Compas Sex,Upsample naive,SVM,2,0.6839546191247974,0.7063829787234043,0.027704300044725568,0.9607800571655992,0.6786786786786787,0.6822969623792577,0.8459310374203991,0.6566901408450704,0.7008928571428571,0.7828947368421053,0.10597165991902836,0.8646412411118294,0.676923076923077,0.6637010676156584,0.5662650602409639,0.11431949090726155,0.8320274964890236,0.6805845511482255,0.4651539708265802,0.3404255319148936,0.1540689625796009,0.6884313894392281,0.4944944944944945,4820.0
Compas Sex,Upsample naive,Majority,2,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,4820.0
Compas Sex,Upsample naive,"Logistic Regression, C=1.0",3,0.6555915721231766,0.6553191489361702,0.00033650671948548533,0.999486763033945,0.6556556556556556,0.6545077105575325,0.8664579473090109,0.6294681778552746,0.6666666666666666,0.7236842105263158,0.0736842105263158,0.8981818181818182,0.65,0.6423487544483986,0.5301204819277109,0.13167492517041024,0.8010337881494433,0.6617954070981211,0.4740680713128039,0.3659574468085106,0.1335420526909889,0.732648275273952,0.4994994994994995,7230.0
