dataset,transform,model,split_id,Accuracy,Accuracy_sex_0,Accuracy_sex_0-sex_1,Accuracy_sex_0/sex_1,Accuracy_sex_1,Balanced Accuracy,CV absolute,F1,TNR,TNR_sex_0,TNR_sex_0-sex_1,TNR_sex_0/sex_1,TNR_sex_1,TPR,TPR_sex_0,TPR_sex_0-sex_1,TPR_sex_0/sex_1,TPR_sex_1,prob_pos,prob_pos_sex_0,prob_pos_sex_0-sex_1,prob_pos_sex_0/sex_1,prob_pos_sex_1,seed
Compas Sex,Upsample uniform,"Logistic Regression, C=1.0",0,0.6701782820097245,0.7021276595744681,0.03946499691180538,0.9437922771256104,0.6626626626626627,0.6619296517539399,0.8456626839605563,0.6112702960840497,0.7544642857142857,0.8355263157894737,0.10475708502024296,0.8746214415505754,0.7307692307692307,0.5693950177935944,0.4578313253012048,0.13089518826873253,0.7776638468768692,0.5887265135699373,0.3930307941653161,0.2680851063829787,0.15433731603944373,0.6346374911767672,0.4224224224224225,0.0
Compas Sex,Upsample uniform,SVM,0,0.6888168557536467,0.7191489361702128,0.037467254488531165,0.9479005632851786,0.6816816816816816,0.6774407939332316,0.8907077290056014,0.6167664670658682,0.8050595238095238,0.8486842105263158,0.05637651821862355,0.9335718545020872,0.7923076923076923,0.5498220640569395,0.4819277108433735,0.07965892798752416,0.8581538048103194,0.5615866388308977,0.3565640194489465,0.2680851063829787,0.10929227099439864,0.7103899768609967,0.37737737737737737,0.0
Compas Sex,Upsample uniform,Majority,0,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Compas Sex,Upsample uniform,"Logistic Regression, C=1.0",1,0.6685575364667747,0.6808510638297872,0.015185398164121566,0.9776964464464464,0.6656656656656657,0.6630629342484324,0.9180073690711992,0.6230414746543779,0.7247023809523809,0.75,0.03269230769230769,0.9564102564102565,0.7173076923076923,0.6014234875444839,0.5542168674698795,0.05538647282239606,0.9091434230070968,0.6096033402922756,0.4238249594813615,0.3574468085106383,0.0819926309288011,0.8134154025105415,0.4394394394394394,2410.0
Compas Sex,Upsample uniform,SVM,1,0.6920583468395461,0.6893617021276596,0.003330990565033165,0.9951912433894968,0.6926926926926927,0.6859510040671073,0.8869678188827126,0.6461824953445066,0.7544642857142857,0.7828947368421053,0.036740890688259135,0.9530704589528118,0.7461538461538462,0.6174377224199288,0.5180722891566265,0.11658324320245494,0.8163046924540266,0.6346555323590815,0.41491085899513774,0.32340425531914896,0.11303218111728748,0.7410111262931877,0.4364364364364364,2410.0
Compas Sex,Upsample uniform,Majority,1,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2410.0
Compas Sex,Upsample uniform,"Logistic Regression, C=1.0",2,0.6799027552674229,0.7021276595744681,0.02745298489979342,0.9609002942336275,0.6746746746746747,0.6718776478562956,0.8436606819585544,0.6234509056244041,0.7619047619047619,0.8355263157894737,0.09514170040485824,0.8861296184130829,0.7403846153846154,0.5818505338078291,0.4578313253012048,0.14550896697436927,0.7588276983365991,0.6033402922755741,0.3946515397082658,0.2680851063829787,0.15633931804144569,0.6316439181051786,0.4244244244244244,4820.0
Compas Sex,Upsample uniform,SVM,2,0.6790923824959482,0.7063829787234043,0.03371030605073155,0.952277578783603,0.6726726726726727,0.6688034866971699,0.8694353928396481,0.6110019646365422,0.7842261904761905,0.8421052631578947,0.07479757085020232,0.9111778846153848,0.7673076923076924,0.5533807829181495,0.4578313253012048,0.1121060442186282,0.8033011165541286,0.569937369519833,0.3695299837925446,0.2638297872340425,0.13056460716035184,0.6689491305756561,0.3943943943943944,4820.0
Compas Sex,Upsample uniform,Majority,2,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,4820.0
Compas Sex,Upsample uniform,"Logistic Regression, C=1.0",3,0.6612641815235009,0.6723404255319149,0.013681766873256174,0.979650536612562,0.6586586586586587,0.6522888069818675,0.8494153728196281,0.5973025048169557,0.7529761904761905,0.8157894736842105,0.08117408906882584,0.9004962779156328,0.7346153846153847,0.5516014234875445,0.40963855421686746,0.16656186331966694,0.7109306792386939,0.5762004175365344,0.3857374392220421,0.2638297872340425,0.15058462718037186,0.6366327474560592,0.4144144144144144,7230.0
Compas Sex,Upsample uniform,SVM,3,0.666936790923825,0.6553191489361702,0.014350520733499515,0.9785707470661196,0.6696696696696697,0.6590990933740044,0.8764509190041105,0.6096866096866097,0.7470238095238095,0.7763157894736842,0.03785425101214568,0.951238591916558,0.7384615384615385,0.5711743772241993,0.43373493975903615,0.1612546218276027,0.7289790741915029,0.5949895615866388,0.3978930307941653,0.2978723404255319,0.12354908099588953,0.7068277151665234,0.4214214214214214,7230.0
Compas Sex,Upsample uniform,Majority,3,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,7230.0
Compas Sex,Upsample uniform,"Logistic Regression, C=1.0",4,0.6434359805510534,0.6382978723404256,0.006346772304219095,0.9901546187392626,0.6446446446446447,0.6347547025927809,0.8434093668136221,0.5785440613026821,0.7321428571428571,0.7894736842105263,0.07408906882591093,0.9061538461538462,0.7153846153846154,0.5373665480427047,0.3614457831325301,0.20640390371506906,0.636516654854713,0.5678496868475992,0.3905996758508914,0.2638297872340425,0.1565906331863779,0.6275379939209726,0.4204204204204205,9640.0
