dataset,transform,model,split_id,Accuracy,Accuracy_sex_0,Accuracy_sex_0-sex_1,Accuracy_sex_0/sex_1,Accuracy_sex_1,Balanced Accuracy,CV absolute,F1,TNR,TNR_sex_0,TNR_sex_0-sex_1,TNR_sex_0/sex_1,TNR_sex_1,TPR,TPR_sex_0,TPR_sex_0-sex_1,TPR_sex_0/sex_1,TPR_sex_1,prob_pos,prob_pos_sex_0,prob_pos_sex_0-sex_1,prob_pos_sex_0/sex_1,prob_pos_sex_1,seed
Compas Sex,no_transform,"Logistic Regression, C=1.0",0,0.6774716369529984,0.7148936170212766,0.04622494835260793,0.9353401020067686,0.6686686686686687,0.6677522877478393,0.8404021042318914,0.6120857699805069,0.7767857142857143,0.8618421052631579,0.10991902834008094,0.8724603640634175,0.7519230769230769,0.5587188612099644,0.4457831325301205,0.13250496767864786,0.7708668609455873,0.5782881002087683,0.3760129659643436,0.2468085106382979,0.15959789576810854,0.6072948328267477,0.4064064064064064,0.0
Compas Sex,no_transform,SVM,0,0.6823338735818476,0.7234042553191491,0.050731582646476266,0.9298710475181065,0.6726726726726727,0.6711971487883409,0.8919600451515346,0.6103379721669981,0.7961309523809523,0.8486842105263158,0.06791497975708505,0.9199761478831248,0.7807692307692308,0.5462633451957295,0.4939759036144578,0.061347687199738425,0.8895280369598695,0.5553235908141962,0.35980551053484605,0.2723404255319149,0.10803995484846546,0.7159686450167974,0.3803803803803804,0.0
Compas Sex,no_transform,Majority,0,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Compas Sex,no_transform,Kamiran & Calders LR,0,0.6799027552674229,0.7106382978723405,0.03796562519966773,0.9465753178328028,0.6726726726726727,0.6708582231825115,0.8471620556726941,0.6183574879227053,0.7723214285714286,0.8486842105263158,0.09868421052631582,0.8837209302325582,0.75,0.5693950177935944,0.4578313253012048,0.13089518826873253,0.7776638468768692,0.5887265135699373,0.3833063209076175,0.2595744680851064,0.15283794432730602,0.6294050815947119,0.4124124124124124,0.0
Compas Sex,no_transform,Kamiran & Calders SVM,0,0.6823338735818476,0.7234042553191491,0.050731582646476266,0.9298710475181065,0.6726726726726727,0.6711971487883409,0.8919600451515346,0.6103379721669981,0.7961309523809523,0.8486842105263158,0.06791497975708505,0.9199761478831248,0.7807692307692308,0.5462633451957295,0.4939759036144578,0.061347687199738425,0.8895280369598695,0.5553235908141962,0.35980551053484605,0.2723404255319149,0.10803995484846546,0.7159686450167974,0.3803803803803804,0.0
Compas Sex,no_transform,"Logistic Regression, C=1.0",1,0.6750405186385737,0.6978723404255319,0.02820267075586225,0.9595876364169048,0.6696696696696697,0.6688696831045586,0.8859668178817115,0.6269767441860465,0.7380952380952381,0.7894736842105263,0.06639676113360328,0.9158974358974359,0.7230769230769231,0.599644128113879,0.5301204819277109,0.0815705410367985,0.8666474772811383,0.6116910229645094,0.41572123176661263,0.32340425531914896,0.1140331821182885,0.7393154486586494,0.4374374374374375,2410.0
Compas Sex,no_transform,SVM,1,0.6904376012965965,0.6936170212765957,0.003927331586906058,0.9943378961783872,0.6896896896896897,0.6824240594814439,0.8867122441590527,0.6354961832061069,0.7723214285714286,0.8026315789473685,0.03917004048583006,0.9511979823455232,0.7634615384615384,0.5925266903914591,0.4939759036144578,0.11562743667781775,0.8103234857237167,0.6096033402922756,0.3938411669367909,0.3021276595744681,0.11328775584094734,0.7272904383491412,0.4154154154154153,2410.0
Compas Sex,no_transform,Majority,1,0.5445705024311183,0.6468085106382979,0.12628799011777736,0.8047521205415942,0.5205205205205206,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2410.0
Compas Sex,no_transform,Kamiran & Calders LR,1,0.6685575364667747,0.6851063829787234,0.020441718314058718,0.9701627092931441,0.6646646646646647,0.6623347737671581,0.8912231380316487,0.6195348837209302,0.7321428571428571,0.7763157894736842,0.05708502024291495,0.9264667535853977,0.7192307692307692,0.5925266903914591,0.5180722891566265,0.08735568579118147,0.8557125051931865,0.605427974947808,0.41572123176661263,0.3276595744680851,0.10877686196835136,0.7507612726917822,0.4364364364364364,2410.0
Compas Sex,no_transform,Kamiran & Calders SVM,1,0.6904376012965965,0.6893617021276596,0.0013289885630310974,0.9980758556891768,0.6906906906906907,0.6824240594814439,0.8919685643089899,0.6354961832061069,0.7723214285714286,0.7960526315789473,0.03066801619433201,0.961474888747616,0.7653846153846153,0.5925266903914591,0.4939759036144578,0.11562743667781775,0.8103234857237167,0.6096033402922756,0.3938411669367909,0.30638297872340425,0.10803143569101016,0.7393154486586494,0.4144144144144144,2410.0
